Product_name,Alcohol_amount,Alcohol_percent,Category,product_id
Naud Extra Fine Cognac,70.0,42.3,Cognac,2094
Remi Landier VSOP Cognac,70.0,40.0,Cognac,445
Hardy 3 Stars Cognac,70.0,40.0,Cognac,273
Merlet XO Cognac,70.0,40.0,Cognac,1894
Frapin 1270 Premier Cru Grande Champagne Cognac,70.0,40.0,Cognac,182
Hardy VSOP Fine Cognac,70.0,40.0,Cognac,1270
Hardy VSOP Organic Fine Cognac,70.0,40.0,Cognac,2049
Michel Forgeron Barrique 95 Grande Champagne Cognac,50.0,47.0,Cognac,6
Vallein-Tercinier L'Erotique Lot 69 Cognac,70.0,48.7,Cognac,1015
Vallein-Tercinier Napoleon Cognac,70.0,40.0,Cognac,1314
Martell Blue Swift,70.0,40.0,Cognac,2230
Francois Voyer,70.0,42.7,Cognac,1640
Prunier 1977 Borderies Cognac,70.0,51.5,Cognac,1116
Hennessy XO,35.0,40.0,Cognac,159
Martell Cordon Bleu Cognac,70.0,40.0,Cognac,865
Fanny Fougerat Petite Cigue VSOP Cognac,70.0,40.0,Cognac,1035
Frapin 1993,70.0,43.2,Cognac,2444
Hennessy XO,150.0,40.0,Cognac,742
Tesseron Extra Legende Cognac,70.0,40.0,Cognac,1125
Chateau de Montifaud Napoleon Cognac,70.0,40.0,Cognac,2535
Chateau de Montifaud VS Fine Petite Champagne Cognac,70.0,40.0,Cognac,2044
Michel Forgeron Barrique 92 Grande Champagne Cognac,50.0,52.0,Cognac,2182
Hine Antique XO,150.0,40.0,Cognac,153
Prunier XO,70.0,40.0,Cognac,579
Chateau de Montifaud L50 Heritage Louis Vallet,70.0,40.0,Cognac,2452
Jean Fillioux La Pouyade Cognac,70.0,42.0,Cognac,2506
H by Hine VSOP Cognac,70.0,40.0,Cognac,904
Camus Ile De Re Fine Island,70.0,40.0,Cognac,696
Jean Fillioux So Elegantissime XO Cognac,70.0,41.0,Cognac,125
Tesseron Tresor Cognac,70.0,40.0,Cognac,2342
Camus XO Elegance,70.0,40.0,Cognac,2070
Prunier 1986,70.0,58.4,Cognac,2327
Prunier 1985 Cognac,70.0,54.9,Cognac,746
Prunier Extra Cognac,70.0,40.0,Cognac,472
Michel Forgeron Barrique 89 Grande Champagne Cognac,50.0,58.0,Cognac,2585
Michel Forgeron XO Grande Champagne Single Estate,70.0,45.0,Cognac,1489
Remy Martin VSOP Cognac,68.2,40.0,Cognac,906
Tesseron Lot 76 XO Tradition Cognac,70.0,40.0,Cognac,2320
Remy Martin XO Excellence,35.0,40.0,Cognac,588
Courvoisier VSOP Cognac,70.0,40.0,Cognac,1653
Delamain Tres Vieux Cognac,70.0,40.0,Cognac,1746
AE Dor XO Vieille Cognac,20.0,40.0,Cognac,900
Paul Beau Vieille Reserve Cognac,70.0,40.0,Cognac,382
Maxime Trijol VSOP,70.0,40.0,Cognac,2391
Hennessy XO Cognac,300.0,40.0,Cognac,1454
Chateau de Beaulon VSOP Folle Blanche Cognac,70.0,40.0,Cognac,1024
Chateau de Beaulon Grand XO 20 Year Old Cognac,70.0,40.0,Cognac,2477
Ragnaud Sabourin Cognac No.20 Reserve Speciale,70.0,43.0,Cognac,887
Courvoisier VS Cognac,70.0,40.0,Cognac,1370
AE Dor No.6 Cognac,70.0,40.0,Cognac,1687
Courvoisier Gala Cocktail Collection,110.0,25.5,Cognac,923
Hine 1978 Vintage Grande Champagne Cognac,70.0,40.0,Cognac,2048
ABK6 VS Single Estate Cognac,70.0,40.0,Cognac,1244
Delamain Collection Revelation Early Landed 1999 Cognac,70.0,43.7,Cognac,1708
Delamain Collection Plenitude 1988 Cognac,70.0,42.5,Cognac,1546
Jean Fillioux Subtil & So VSOP Grande Champagne Cognac,70.0,40.0,Cognac,734
Tesseron Extreme Cognac,175.0,40.0,Cognac,731
Philbert 2018 Petite Champagne Sauternes Cask Finish Cognac,70.0,41.5,Cognac,1232
Philbert Distiller Reserve 2017 Vintage Petite Champagne Cognac,70.0,40.0,Cognac,1269
Philbert Distiller Reserve 2017 Vintage Grande Champagne Cognac,70.0,40.0,Cognac,2571
Philbert VSOP Cognac,70.0,40.0,Cognac,1571
Philbert VS Cognac,70.0,40.0,Cognac,9
Cognac Patte Blanche Extra Bio,70.0,40.0,Cognac,1100
Cognac Park Millesimes Fin Bois 1978,70.0,43.0,Cognac,838
Drouet & Fils Melina 2012 Cognac,70.0,42.0,Cognac,1936
Fanny Fougerat Le Laurier d'Apollon 2011 Cognac,70.0,42.2,Cognac,1369
Fanny Fougerat Lancement Collection Type 73 Cognac,70.0,49.6,Cognac,145
Frapin 1989 Grande Champagne Cognac,70.0,40.3,Cognac,1618
Martell Cordon Bleu Cognac,70.0,40.0,Cognac,2124
Delamain Pale & Dry Cognac,68.0,40.0,Cognac,2104
Cognac Park Millesimes Fin Bois 1977,70.0,43.0,Cognac,673
Cognac Park Millesimes Fin Bois 1976,70.0,42.8,Cognac,1131
Cognac Park Millesimes Fin Bois 1975,70.0,44.0,Cognac,2533
Cognac Park Millesimes Fin Bois 1974,70.0,40.0,Cognac,820
Cognac Park Millesimes Petite Champagne 1973,70.0,43.0,Cognac,587
Cognac Park Millesimes Fin Bois 1970,70.0,40.0,Cognac,1950
Cognac Park Extra,70.0,40.0,Cognac,2208
Cognac Park Chai No.8 Borderies,70.0,43.0,Cognac,2568
Cognac Park Cigar Blend,70.0,40.0,Cognac,83
Cognac Park XO Grande Champagne,70.0,40.0,Cognac,2051
Cognac Park 2004 Mizunara Cask,70.0,44.0,Cognac,1004
Cognac Park Borderies,70.0,40.0,Cognac,1376
Cognac Park Fins Bois Organic,70.0,40.0,Cognac,932
Cognac Park VS,70.0,40.0,Cognac,756
Prunier 1950 Grande Champagne,70.0,50.0,Cognac,2459
Prunier Rare Reserve Claire,70.0,43.0,Cognac,2102
Vallein-Tercinier 1989 Grande Champagne Cognac,70.0,47.7,Cognac,2612
Hennessy Nostalgie de Bagnolet Crystal Decanter,70.0,40.0,Cognac,802
Courvoisier VSOP Liqueur Cognac,68.0,40.0,Cognac,1390
Courvoisier 3 Star Cognac,68.0,40.0,Cognac,52
Remy Martin VSOP Cognac,70.0,40.0,Cognac,1916
Michel Forgeron Folle Blanche 2007 GC Cognac,50.0,47.0,Cognac,2188
Michel Forgeron Folle Blanche 2008 GC Cognac,50.0,47.0,Cognac,1895
Michel Forgeron Folle Blanche 2009 GC Cognac,50.0,47.0,Cognac,1579
Michel Forgeron Folle Blanche 2010 GC Cognac,50.0,47.0,Cognac,741
Michel Forgeron Folle Blanche 2011 GC Cognac,50.0,47.0,Cognac,938
Michel Forgeron Folle Blanche 2012 GC Cognac,50.0,47.0,Cognac,245
Michel Forgeron Folle Blanche 2013 GC Cognac,50.0,47.0,Cognac,2341
Rémy Martin 250th Anniversary (1724-1974),70.0,40.0,Cognac,1148
Remy Martin VSOP Cognac,70.0,40.0,Cognac,2481
Hine 1987 Cognac,70.0,40.0,Cognac,2261
Remy Martin VSOP,68.0,40.0,Cognac,514
Gaston de Lagrange VSOP Cognac,68.0,40.0,Cognac,2598
Denis-Mounié 1926,75.0,40.0,Cognac,1010
Martell 3 Stars Cognac,70.0,40.0,Cognac,1560
Remy Martin 1878 Cognac,70.0,40.0,Cognac,2081
Moyet Cognac 1815,50.0,40.0,Cognac,1223
Hine 1985 Cognac,70.0,40.0,Cognac,2550
Camus Celebration,68.5,40.0,Cognac,757
Hennessy VSOP Privilege Cognac,70.0,40.0,Cognac,386
Frapin Cuvee 1888 Cognac,70.0,40.0,Cognac,1174
Camus VS Port Cask Finish,70.0,43.2,Cognac,1462
Camus 2015 Monbazillac Cask Saint Aulaye Single Cru,70.0,40.0,Cognac,1291
Delamain Collection Plenitude 1991,70.0,46.0,Cognac,256
Remi Landier Special Pale Fins Bois Cognac,70.0,45.0,Cognac,2099
Coutanseaux Aine Hors d'Age Cognac,70.0,40.0,Cognac,665
Delamain Ancestral Grande Champagne Cognac,70.0,43.0,Cognac,1411
AE Dor 1840 Cognac,70.0,34.0,Cognac,2483
Martell VSOP Cognac,75.0,42.0,Cognac,117
Jean-Luc Pasquet Le Cognac d’Eraville,50.0,42.8,Cognac,618
Jean-Luc Pasquet XO Grande Champagne,70.0,40.0,Cognac,536
Sazerac de Forge et Fils Finest Original Cognac,70.0,47.0,Cognac,1748
Meukow 1937,70.0,41.3,Cognac,1137
Martell Cordon Bleu Cognac,75.0,40.0,Cognac,1451
Chateau Courvoisier Fine Champagne Cognac,70.0,40.0,Cognac,1471
Hine 1858,75.0,40.0,Cognac,784
Hine 1898 Cognac,70.0,40.0,Cognac,1064
Prunier 1988 Petite Champagne Cognac,70.0,48.0,Cognac,2146
Hardy Lalique Winter,70.0,41.0,Cognac,1730
Pinet Castillon Cognac 1920,75.0,40.0,Cognac,225
Harvey's 1904 Cognac,70.0,40.0,Cognac,2370
Braastad Extra Cognac,70.0,40.0,Cognac,235
Braastad XO Superior Cognac,70.0,40.0,Cognac,497
Prunier 1988 Grande Champagne Cognac,70.0,42.7,Cognac,1417
Prunier 1999 Grande Champagne Cognac,70.0,59.2,Cognac,240
Prunier 1990 Grande Champagne Cognac,70.0,46.5,Cognac,629
Prunier 1987 Petite Champagne Cognac,70.0,56.5,Cognac,2372
Prunier 1971 Petite Champagne Cognac,70.0,57.0,Cognac,723
Prunier 1970 Petite Champagne Cognac,70.0,54.5,Cognac,2448
Delamain Collection Plenitude 1980 Cognac,70.0,42.0,Cognac,745
Delamain Pale & Dry XO Centenaire,20.0,42.0,Cognac,2544
Frapin Francois Rabelais,70.0,40.0,Cognac,2336
Rouyer Guillet 50 Year Old,70.0,40.0,Cognac,103
Meukow Cognac No.7,75.0,40.0,Cognac,1993
Ferrand Legendaire Cognac,70.0,42.1,Cognac,1992
Seignette VS Cognac,70.0,40.0,Cognac,1578
Delamain Pale & Dry XO Centenaire,50.0,42.0,Cognac,1020
Otard Dupuy 1878 Cognac,75.0,40.0,Cognac,1722
Sazerac de Forge,75.0,40.0,Cognac,331
Prunier 1996 Fins Bois Cognac,70.0,49.9,Cognac,454
Prunier 1994 Fins Bois Cognac,70.0,59.9,Cognac,2249
Prunier 1976 Grande Champagne Cognac,70.0,44.0,Cognac,2306
Vallein-Tercinier Vieille Reserve XO Cognac,70.0,40.0,Cognac,1952
Michel Forgeron Barrique 99 Grande Champagne Single Estate Cognac,50.0,47.0,Cognac,1615
Michel Forgeron Barrique 2.0 Grande Champagne Single Estate Cognac,70.0,47.0,Cognac,1995
Paul Beau Lignée de Samuel Grande Champagne Cognac,70.0,43.0,Cognac,2111
Guillon-Painturaud 72E3 Brut de fût Grande Champagne Single Cask Cognac,50.0,43.6,Cognac,613
Michel Forgeron Napoléon Grande Champagne Single Estate Cognac,70.0,43.0,Cognac,2145
Michel Forgeron VS Grande Champagne Single Estate Cognac,70.0,40.0,Cognac,1674
John Exshaw Very Old Cognac,68.0,40.0,Cognac,2103
Hermitage Marie Louise 60 Year Old Grande Champagne Cognac,100.0,43.0,Cognac,1490
Hermitage 45 Year Old Grande Champagne Cognac,70.0,43.5,Cognac,1648
Hermitage 20 Year Old Grande Champagne Cognac,70.0,42.0,Cognac,1398
Leyrat Passion Cognac,50.0,42.0,Cognac,656
ABK6 Reserve Artist Collection No.1,70.0,40.0,Cognac,2213
Naud XO Fine Cognac,70.0,40.0,Cognac,1523
Remy Martin Louis XIII Cognac,70.0,40.0,Cognac,2475
Rouyer Guillet 50 Year Old,70.0,40.0,Cognac,2275
Remi Landier XO Vieille Reserve,70.0,40.0,Cognac,1677
Remi Landier XO Artisanal Cognac,70.0,40.0,Cognac,2655
Remi Landier VS Cognac,70.0,40.0,Cognac,8
Remi Landier Special Pale Single Barrel Lot 2012 Cognac,70.0,45.0,Cognac,2414
Remi Landier Napoleon Cognac,70.0,40.0,Cognac,1255
Frapin Chateau de Fontpinot,73.0,41.0,Cognac,1825
Hennessy 1913 Cognac,70.0,40.0,Cognac,1179
Hennessy Extra Cognac,68.0,40.0,Cognac,335
Ferrand SDA Selection Des Anges Cognac,70.0,41.8,Cognac,1005
Hardy 3 Stars Cognac,70.0,40.0,Cognac,388
AE Dor No.1,70.0,36.0,Cognac,914
Delamain 1893 Cognac,75.0,40.0,Cognac,1331
Hine 1914 Cognac,70.0,40.0,Cognac,314
Fromy 1830 Cognac,35.0,40.0,Cognac,2023
Martell VVESOP Cognac,75.0,40.0,Cognac,740
Through The Grapevine VSOP Cognac,70.0,44.0,Cognac,1028
Louis XIII Black Pearl,35.0,40.0,Cognac,2021
Berry Bros 1904 Cognac,68.0,38.8,Cognac,1317
Martell Cordon Argent Cognac,75.0,43.0,Cognac,2337
Martell Cordon Argent Cognac,75.0,44.0,Cognac,1191
Martell Cordon Argent Extra Cognac,70.0,45.0,Cognac,176
Auger Fils & Cie 1865 Cognac,70.0,40.0,Cognac,2358
Frapin Chateau de Fontpinot,73.0,40.0,Cognac,1426
Frapin Chateau de Fontpinot,73.0,41.0,Cognac,789
Prunier 1989 Vintage Cognac,70.0,58.9,Cognac,124
Prunier 1986 Vintage Cognac,70.0,51.8,Cognac,302
Guillon-Painturaud Memoires Single Cask 1965,50.0,40.0,Cognac,1186
Hardy Lalique Autumn,70.0,41.0,Cognac,248
Prunier 1969 Vintage Grande Champagne Cognac,70.0,54.5,Cognac,1149
Paul Giraud Elegance Cognac,70.0,40.0,Cognac,1138
ABK6 VS Single Estate Cognac,70.0,40.0,Cognac,810
ABK6 Extra Single Estate Cognac,70.0,43.0,Cognac,2653
ABK6 Single Estate Cognac 1985,70.0,42.5,Cognac,2523
ABK6 XO Renaissance Single Estate,70.0,40.0,Cognac,2231
Matthew Gloag Very Fine Old Cognac,71.0,40.0,Cognac,1754
Vallein-Tercinier Fins Bois Lot 89 Cognac,70.0,48.5,Cognac,747
François Voyer Amathus Special Selection Cognac,70.0,42.0,Cognac,1262
François Voyer Terres de Grande Champagne Cognac,70.0,40.0,Cognac,11
François Voyer Napoleon Cognac,70.0,40.0,Cognac,212
François Voyer XO Cognac,70.0,40.0,Cognac,327
François Voyer VS Cognac,70.0,40.0,Cognac,863
Vaudon Barriques 78 & 80 Cognac,70.0,48.0,Cognac,2628
Vaudon XO Cognac,70.0,40.0,Cognac,14
Vaudon VSOP Cognac,70.0,40.0,Cognac,1641
Vaudon Fine Rare Cognac,70.0,43.0,Cognac,1943
Fradon Lot 70 Cognac,70.0,46.3,Cognac,2516
Vaudon 1996 Single Cask Cognac,70.0,51.1,Cognac,433
Vallein Tercinier 1987 Single Cask Cognac,70.0,49.1,Cognac,1811
Remy Martin Age Inconnu,75.0,43.0,Cognac,1038
Frapin Cuvee Rabelais,70.0,40.0,Cognac,879
Bisquit Dubouche Extra Vieille,70.0,40.0,Cognac,1183
Courvoisier 1900 Cognac,70.0,40.0,Cognac,1985
Tessendier Et Fils,70.0,48.0,Cognac,63
Camus 11 Year Old,70.0,49.0,Cognac,403
Remy Martin Age Inconnu,70.0,40.0,Cognac,1592
Remy Martin Louis XIII Cognac,75.0,40.0,Cognac,2630
Denis-Mounié 1884 Cognac,75.0,40.0,Cognac,2404
Courvoisier 3 Stars Luxe Cognac,378.0,40.0,Cognac,612
Courvoisier 3 Stars Luxe Cognac,378.0,40.0,Cognac,1633
Denis-Mounié Extra Cognac,68.0,40.0,Cognac,2006
Gautier XO Gold & Blue Cognac,70.0,40.0,Cognac,1409
Martell Medaillon Cognac,150.0,40.0,Cognac,1926
"Block,Grey & Block 1884 Cognac",70.0,40.0,Cognac,1025
Renault Carte Noire Extra,70.0,40.0,Cognac,1953
Martell Reserve Du Fondateur Cognac (1694-1753),70.0,44.0,Cognac,2605
Martell Cordon Argent Cognac,75.0,43.0,Cognac,1410
Martell Extra Cognac,75.0,43.0,Cognac,111
Courvoisier 3 Stars Cognac,70.0,40.0,Cognac,1827
Bisquit Dubouche Triomphe,73.0,40.0,Cognac,2606
Hine Antique Cognac,100.0,40.0,Cognac,1433
Courvoisier Extra Vieille,75.5,40.0,Cognac,2651
Gautier Freres 1868 Cognac,75.0,40.0,Cognac,73
Hine 1935 Cognac,68.0,40.0,Cognac,2647
Leyrat Assemblage No.1 VS Cognac,70.0,42.0,Cognac,2200
Delamain Pale & Dry Cognac,68.0,40.0,Cognac,925
Domaines Hine Bonneuil 2008 Cognac,70.0,42.7,Cognac,171
Etienne Gasqueton Grand Empereur Cognac,75.0,40.0,Cognac,2264
Courvoisier VSOP Liqueur Cognac,68.0,40.0,Cognac,721
Boulestin 3 Stars Cognac,73.0,40.0,Cognac,2507
Remy Martin Grande Reserve Cognac,68.0,40.0,Cognac,107
Guillot VSOP Cognac,73.0,40.0,Cognac,1099
Renault Carte Noire Extra Cognac,73.0,40.0,Cognac,2461
Francois Voyer Verrieres Grande Champagne XO Extraordinaire,70.0,40.0,Cognac,590
Francois Voyer Craft Cognac Exceptionnel Extra,70.0,42.0,Cognac,1479
Hine Antique,68.0,40.0,Cognac,964
Hine 1987 Early Landed Vintage Cognac,70.0,40.0,Cognac,1400
Otard 1900 Old Liqueur Brandy,70.0,40.0,Cognac,1970
Frapin Chateau de Fontpinot,70.0,41.0,Cognac,799
John Exshaw Age d'Or Cognac,70.0,40.0,Cognac,1172
Arthur Godfree 1878 Cognac,70.0,40.0,Cognac,1328
Gautier Freres 1937 Cognac,68.0,40.0,Cognac,1530
Prunier 1914 Cognac,68.0,40.0,Cognac,1121
Jules Gilson 1865 Cognac,70.0,40.0,Cognac,772
Prunier 1900 Cognac,68.0,40.0,Cognac,1861
Denis-Mounié Edouard VII Cognac,70.0,40.0,Cognac,2582
Martell VOP 3 Stars Cognac,73.0,42.0,Cognac,455
Rémy Martin Louis XIII,150.0,40.0,Cognac,1502
Raymond Ragnaud Heritage Cognac,70.0,45.0,Cognac,2122
Martell Cordon Bleu Cognac,68.0,40.0,Cognac,110
Martell VSOP Cognac,75.0,42.0,Cognac,1736
Martell VOP 3 Stars Cognac,75.0,40.0,Cognac,1384
Merlet St Sauvant Cognac,70.0,44.3,Cognac,1152
Berry Bros 1930 Arthenac Cognac,68.0,40.0,Cognac,1509
John Exshaw 1935 Cognac,70.0,40.0,Cognac,69
John Mark & Co. 1893 Cognac,70.0,40.0,Cognac,1393
Martell Jubilee Cognac (1905-1980),70.0,45.0,Cognac,1440
Martell VOP 3 Stars Cognac,50.0,40.0,Cognac,1283
Tesseron Lot 53 XO Perfection Cognac,70.0,40.0,Cognac,1889
Hardy L'Ete Lalique Decanter,70.0,41.0,Cognac,2442
Hardy Printemps Lalique Crystal Decanter,70.0,41.0,Cognac,1988
Barnett & Fils 1840 Cognac,70.0,40.0,Cognac,2008
Guillon-Painturaud Renaissance Cognac,70.0,40.0,Cognac,1019
Michel Forgeron Barrique 98 Grande Champagne Cognac,50.0,47.0,Cognac,797
Michel Forgeron Barrique 97 Grande Champagne Cognac,50.0,47.0,Cognac,508
Michel Forgeron Barrique 96 Grande Champagne Cognac,50.0,47.0,Cognac,847
Michel Forgeron Barrique 94 Grande Champagne Cognac,50.0,47.0,Cognac,1539
Marquis C de Genet 1811 Cognac,70.0,40.0,Cognac,2465
Martell Extra Cognac,75.0,44.0,Cognac,2350
Remy Martin Louis XIII Cognac,75.0,40.0,Cognac,1111
Vallein-Tercinier Conjugaison 49 Cognac,70.0,43.2,Cognac,1972
Vallein-Tercinier Lot 40 Hommage Cognac,70.0,49.7,Cognac,1182
Vallein-Tercinier Lot 66 Cognac,70.0,51.3,Cognac,577
Vallein-Tercinier Hors d'Age Cognac,70.0,42.0,Cognac,353
Vallein-Tercinier XO 46° Small Batch Cognac,70.0,46.0,Cognac,46
Vallein-Tercinier VSOP Premium Selection Cognac,70.0,40.0,Cognac,962
Vallein-Tercinier VS Selection Cognac,70.0,40.0,Cognac,198
Hine 1973 Cognac,70.0,40.0,Cognac,1886
A De Luze & Fils 1893 Cognac,75.0,40.0,Cognac,971
Prunier Vieux Cognac,70.0,40.0,Cognac,1541
Le Corcellet 1825 Cognac,75.0,40.0,Cognac,1885
Martell Cordon Bleu Cognac,68.0,40.0,Cognac,1630
Ferdinand De Roffignac Cognac,70.0,40.0,Cognac,762
Hedges & Butler 1865 Cognac,70.0,40.0,Cognac,1581
Martell Cordon Argent Extra Cognac,70.0,44.0,Cognac,1022
Bisquit Dubouche 1858 Cognac,73.0,42.0,Cognac,352
Denis-Mounié Edouard VII Cognac,75.0,40.0,Cognac,500
Martell VSOP,68.0,40.0,Cognac,1983
Delor 1811 Cognac,75.0,40.0,Cognac,1912
Martell Cordon Argent Cognac,70.0,40.0,Cognac,1026
Remi Landier,70.0,45.9,Cognac,1594
Vaudon Cask 78+80,70.0,48.5,Cognac,2607
Bisquit Dubouche Extra Vieille,75.0,40.0,Cognac,2430
Remy Martin Louis XIII Cognac,70.0,40.0,Cognac,126
Martell Cordon Argent Cognac,73.0,40.0,Cognac,1054
Remy Martin Louis XIII Cognac,75.7,40.0,Cognac,1166
Remy Martin Louis XIII Cognac,75.7,40.0,Cognac,2520
Remy Martin Louis XIII Cognac,70.0,40.0,Cognac,417
Pinet Castillon 1914 Cognac,68.0,40.0,Cognac,1980
Martell Cordon Bleu Cognac,70.0,40.0,Cognac,1356
Prunier Grande Champagne 1981 Cognac,70.0,42.1,Cognac,1905
Prunier Petite Champagne 1979 Cognac,70.0,54.1,Cognac,513
Prunier 1978 Borderies Cognac,70.0,52.8,Cognac,720
Prunier 1974 Fins Bois Cognac,70.0,52.7,Cognac,120
Prunier 1968 Fins Bois Cognac,70.0,61.9,Cognac,1272
Courvoisier 3 Stars Luxe Cognac,68.0,40.0,Cognac,456
Remy Martin Louis XIII Cognac,75.7,40.0,Cognac,1373
Mercier Roger 1900 Cognac,70.0,40.0,Cognac,676
Eschenauer 1878 Cognac,75.0,40.0,Cognac,1136
Hine 1967,70.0,41.0,Cognac,1027
Army & Navy Stores 1928 Cognac,75.0,40.0,Cognac,173
Martell Extra Cognac,70.0,43.0,Cognac,2556
Remy Martin VSOP Cognac,70.0,40.0,Cognac,1877
Martell Extra Cognac,68.0,43.0,Cognac,40
Bisquit Dubouche 1858 Cognac,73.0,42.0,Cognac,2228
